id	progress	finished	recorded_date	q3_1	q3_6	q3_7	q3_2	q3_3	q3_4	q3_8	q3_9	q3_5	q4	q6_1_1	q6_1_2	q6_1_3	q7	q8_1_1	q8_1_2	q8_1_3	q9_1	q9_2	q10_1	q10_2	q10_3	q10_4	q10_5	q10_6	q10_7	q10_8	q10_9	q11	q12	q13	q14	q15_1	q15_2	q15_3	q15_4	q15_6	q15_5	q16	q18	q21	q22	duration_mins	progress_cat	adequate1	adequate2	any_adequate
12	100	TRUE	2024-05-20	Chair	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	548	25	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	Don’t know	NA	Other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	11.0333333333333	(75,100]	No	Unknown	No
13	100	TRUE	2024-05-20	Chair	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	67	58	NA	NA	Yes	No	NA	NA	NA	NA	MBiostat	NA	NA	NA	NA	Yes, part-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	240.2	(75,100]	Yes	No	Yes
14	100	TRUE	2024-05-20	Chair	NA	NA	NA	NA	NA	NA	NA	NA	42	NA	NA	NA	410	60	50	70	Yes	No	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Usually	9.8	(75,100]	Yes	No	Yes
15	100	TRUE	2024-05-20	Chair	NA	NA	NA	NA	NA	NA	NA	NA	19	45	40	50	NA	NA	NA	NA	No	Yes	NA	NA	NA	NA	NA	Phd Statistics	Accredited statistician from a professional society, e.g., Statistical Society of Australia	NA	NA	Yes, full-time	When the committee and/or chair feels unable to assess the statistical methods	Never had one	Within committee	NA	NA	NA	NA	We have access to statistical expertise outside the committee	NA	Yes	NA	Always	Always	4.08333333333333	(75,100]	No	Yes	Yes
16	100	TRUE	2024-05-20	Chair	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	350	75	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3 or more years ago	Within committee	NA	NA	NA	Other committee members are able to cover statistical questions	NA	NA	No	No	NA	NA	5.65	(75,100]	No	No	No
17	100	TRUE	2024-05-20	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	27	53	47	63	79	66	60	80	Yes	No	NA	NA	NA	NA	MBiostat	Phd Statistics	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	1240.88333333333	(75,100]	Yes	No	Yes
18	100	TRUE	2024-05-21	Chair	NA	NA	NA	NA	NA	NA	NA	NA	30	200	100	250	NA	NA	NA	NA	Yes	NA	NA	NA	NA	MSc Statistics	NA	NA	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	2.81666666666667	(75,100]	Yes	Unknown	Yes
19	100	TRUE	2024-05-21	Chair	NA	NA	NA	NA	NA	NA	NA	NA	40	40	35	45	50	40	35	45	Yes	Yes	No formal qualifications	NA	NA	NA	NA	NA	NA	NA	NA	Yes, part-time	For selected applications that include quantitative data and/or analysis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Usually	2.76666666666667	(75,100]	No	No	No
20	100	TRUE	2024-05-21	NA	NA	Deputy chair or Associate chair	NA	NA	NA	NA	NA	NA	14	10	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	39.85	(75,100]	Yes	Unknown	Yes
21	100	TRUE	2024-05-21	Chair	NA	NA	NA	NA	NA	NA	NA	NA	33	57	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	Don’t know	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Sometimes	1500.78333333333	(75,100]	Unknown	No	No
22	100	TRUE	2024-05-21	Chair	NA	NA	NA	NA	NA	NA	NA	NA	50	55	NA	NA	110	55	NA	NA	Yes	No	NA	BSc Statistics	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Sometimes	1318.23333333333	(75,100]	Yes	No	Yes
23	100	TRUE	2024-05-21	Chair	NA	NA	NA	NA	NA	NA	NA	NA	25	45	45	50	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Other	NA	NA	Only need occasional statistical expertise	Other committee members are able to cover statistical questions	NA	NA	No	No	NA	NA	19.8166666666667	(75,100]	No	No	No
24	100	TRUE	2024-05-21	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	33	200	NA	NA	250	20	NA	NA	No	Yes	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	Yes, part-time	NA	Never had one	Applications are reviewed outside the committee by a qualified statistician	NA	NA	NA	NA	We have access to statistical expertise outside the committee	NA	No	No	Always	Usually	3.95	(75,100]	No	Yes	Yes
25	100	TRUE	2024-05-21	Chair	NA	NA	NA	NA	NA	NA	NA	NA	10	36	NA	NA	55	66	NA	NA	Yes	Yes	NA	BSc Statistics	NA	NA	NA	NA	NA	NA	Other, please specify	Other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Sometimes	11.9666666666667	(75,100]	Yes	Yes	Yes
26	100	TRUE	2024-05-22	Chair	NA	NA	NA	NA	NA	NA	NA	NA	26	200	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Within committee	NA	NA	NA	Other committee members are able to cover statistical questions	NA	NA	No	No	NA	NA	9.41666666666667	(75,100]	No	No	No
27	100	TRUE	2024-05-22	Chair	NA	NA	NA	NA	NA	NA	NA	NA	15	90	85	95	130	NA	NA	NA	Yes	Yes	NA	BSc Statistics	NA	MSc Statistics	NA	NA	NA	NA	NA	Yes, full-time	For selected applications that include quantitative data and/or analysis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Sometimes	6.46666666666667	(75,100]	Yes	Yes	Yes
28	100	TRUE	2024-05-22	Chair	NA	NA	NA	NA	NA	NA	NA	NA	13	10	NA	NA	30	33	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	Don’t know	NA	Other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	5.28333333333333	(75,100]	No	Unknown	No
29	100	TRUE	2024-05-22	Chair	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	When the committee and/or chair feels unable to assess the statistical methods	NA	Other	NA	NA	NA	NA	We have access to statistical expertise outside the committee	NA	No	No	Always	Always	60.5166666666667	(75,100]	No	No	No
30	100	TRUE	2024-05-23	Chair	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	200	60	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Within committee	Cannot recruit one	NA	NA	NA	NA	NA	No	No	NA	NA	36.2333333333333	(75,100]	No	No	No
31	100	TRUE	2024-05-23	Chair	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.18333333333333	(75,100]	Unknown	Unknown	Unknown
32	100	TRUE	2024-05-23	Chair	NA	NA	NA	NA	NA	NA	NA	NA	15	12	8	14	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Other	NA	NA	Only need occasional statistical expertise	Other committee members are able to cover statistical questions	NA	NA	No	No	NA	NA	15.6333333333333	(75,100]	No	No	No
33	100	TRUE	2024-05-23	Chair	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	86	15	NA	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	Other, please specify	Other	When the committee and/or chair feels unable to assess the statistical methods	NA	Other	NA	NA	Only need occasional statistical expertise	NA	NA	NA	No	No	Always	Always	4427	(75,100]	No	No	No
34	100	TRUE	2024-05-24	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	13	11	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Within committee	NA	NA	NA	Other committee members are able to cover statistical questions	NA	NA	No	Don't know	NA	NA	23.1833333333333	(75,100]	No	No	No
35	100	TRUE	2024-05-24	Chair	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	(75,100]	Unknown	Unknown	Unknown
36	100	TRUE	2024-05-27	NA	NA	Deputy chair or Associate chair	NA	NA	NA	NA	NA	NA	18	12	10	14	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	MBiostat	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	9851.33333333333	(75,100]	Yes	Unknown	Yes
37	100	TRUE	2024-05-28	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	13	5	NA	NA	5	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Within committee	NA	NA	NA	Other committee members are able to cover statistical questions	NA	NA	No	No	NA	NA	9.51666666666667	(75,100]	No	No	No
38	100	TRUE	2024-05-28	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	11	2	1	3	25	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Within committee	NA	NA	Only need occasional statistical expertise	Other committee members are able to cover statistical questions	NA	NA	No	No	NA	NA	11.15	(75,100]	No	No	No
39	100	TRUE	2024-05-28	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	12	0	0	0	0	0	0	0	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	Other, please specify	No	Other, please specify	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	50.95	(75,100]	Yes	Yes	Yes
40	100	TRUE	2024-05-29	Chair	NA	NA	NA	NA	NA	NA	NA	NA	14	15	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3 or more years ago	Applications are reviewed outside the committee by a qualified statistician	NA	NA	NA	NA	We have access to statistical expertise outside the committee	NA	Yes	NA	NA	NA	8704.96666666667	(75,100]	No	Unknown	No
41	100	TRUE	2024-05-29	Chair	NA	NA	NA	NA	NA	NA	NA	NA	12	50	40	60	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Researchers are expected to consult a qualified statistician before submitting their application	NA	Statisticians' expertise is not necessary for the decision-making process	NA	NA	NA	Other, please specify	No	Don't know	NA	NA	8.75	(75,100]	No	No	No
42	100	TRUE	2024-05-30	Chair	NA	NA	NA	NA	NA	NA	NA	NA	21	NA	NA	NA	540	50	40	60	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Other	NA	NA	Only need occasional statistical expertise	NA	We have access to statistical expertise outside the committee	NA	No	No	NA	NA	13.9333333333333	(75,100]	No	No	No
43	100	TRUE	2024-05-31	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	8	NA	NA	NA	80	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Other	NA	NA	NA	NA	NA	Other, please specify	Yes	NA	NA	NA	15581.05	(75,100]	No	No	No
44	100	TRUE	2024-06-03	Chair	NA	NA	NA	NA	NA	NA	NA	NA	12	7	4	10	30	25	NA	NA	No	Yes	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	Retired statistician	When the committee and/or chair feels unable to assess the statistical methods	3 or more years ago	Within committee	Cannot recruit one	NA	Only need occasional statistical expertise	NA	We have access to statistical expertise outside the committee	NA	Yes	NA	Always	Always	16.55	(75,100]	No	Yes	Yes
45	100	TRUE	2024-06-03	Chair	NA	NA	NA	NA	NA	NA	NA	NA	13	75	NA	NA	120	65	NA	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	Don’t know	NA	Other	Other, please specify	NA	Researchers are expected to consult a qualified statistician before submitting their application	NA	NA	NA	Other committee members are able to cover statistical questions	NA	NA	Yes	NA	Always	Always	33.1	(75,100]	No	No	No
46	100	TRUE	2024-06-03	Chair	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	250	80	NA	NA	No	Yes	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	Yes, full-time	Other, please specify	Never had one	Applications are reviewed outside the committee by a methods review panel or scientific sub-committee	NA	NA	NA	Other committee members are able to cover statistical questions	NA	NA	No	No	Rarely	Never	8.3	(75,100]	No	Yes	Yes
47	100	TRUE	2024-06-03	Chair	NA	NA	NA	NA	NA	NA	NA	NA	12	75	60	80	75	75	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Within committee	NA	NA	NA	Other committee members are able to cover statistical questions	We have access to statistical expertise outside the committee	NA	No	No	NA	NA	6.11666666666667	(75,100]	No	No	No
48	100	TRUE	2024-06-03	Chair	NA	NA	NA	NA	NA	NA	NA	NA	21	NA	NA	NA	13	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Usually	34.6666666666667	(75,100]	Yes	Unknown	Yes
49	100	TRUE	2024-06-03	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	15	25	NA	NA	25	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	Yes, part-time	Other, please specify	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	32.3833333333333	(75,100]	Unknown	Yes	Yes
50	100	TRUE	2024-06-03	Chair	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	29	100	100	100	No	Yes	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	No	NA	Never had one	Researchers must consult a qualified statistician before submitting their application	NA	Statisticians' expertise is not necessary for the decision-making process	NA	NA	NA	NA	No	No	Always	Always	18.9833333333333	(75,100]	No	Yes	Yes
51	100	TRUE	2024-06-03	Chair	NA	NA	NA	NA	NA	NA	NA	NA	18	110	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	MSc Statistics	NA	NA	Accredited statistician from a professional society, e.g., Statistical Society of Australia	NA	NA	Other	Other, please specify	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Always	4430.96666666667	(75,100]	Unknown	Yes	Yes
52	100	TRUE	2024-06-03	Chair	NA	NA	NA	NA	NA	NA	NA	NA	8	50	NA	NA	NA	NA	NA	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	Don’t know	NA	Other	When the committee and/or chair feels unable to assess the statistical methods	Never had one	Within committee	NA	Statisticians' expertise is not necessary for the decision-making process	Only need occasional statistical expertise	NA	We have access to statistical expertise outside the committee	NA	No	No	Always	Always	157.533333333333	(75,100]	No	No	No
53	100	TRUE	2024-06-03	Chair	NA	NA	NA	NA	NA	NA	NA	NA	16	15	10	NA	31	15	10	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	Don’t know	NA	Yes, part-time	When the committee and/or chair feels unable to assess the statistical methods	Never had one	Researchers are expected to consult a qualified statistician before submitting their application	NA	NA	NA	NA	NA	Other, please specify	No	No	Always	Always	20556.7333333333	(75,100]	No	No	No
54	100	TRUE	2024-06-03	Chair	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	10	80	NA	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	Don’t know	NA	Other	When the committee and/or chair feels unable to assess the statistical methods	Never had one	Researchers are expected to consult a qualified statistician before submitting their application	NA	NA	NA	NA	We have access to statistical expertise outside the committee	NA	No	No	Always	Always	33.4166666666667	(75,100]	No	No	No
55	100	TRUE	2024-06-03	Chair	NA	NA	NA	NA	NA	NA	NA	NA	15	25	NA	NA	51	35	NA	NA	No	Yes	No formal qualifications	NA	NA	NA	NA	NA	NA	NA	NA	No	When the committee and/or chair feels unable to assess the statistical methods	Never had one	Within committee	NA	NA	NA	Other committee members are able to cover statistical questions	We have access to statistical expertise outside the committee	NA	No	No	Sometimes	Sometimes	32.05	(75,100]	No	No	No
56	100	TRUE	2024-06-03	Chair	NA	NA	NA	NA	NA	NA	NA	NA	14	72	NA	NA	72	100	NA	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	Don’t know	NA	Other	For selected applications that include quantitative data and/or analysis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	14.2833333333333	(75,100]	No	No	No
57	100	TRUE	2024-06-03	NA	NA	NA	NA	NA	NA	NA	Lay person	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21392.55	(75,100]	Unknown	Unknown	Unknown
58	100	TRUE	2024-06-04	Chair	NA	NA	NA	NA	NA	NA	NA	NA	50	165	145	180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11315.6833333333	(75,100]	Unknown	Unknown	Unknown
59	100	TRUE	2024-06-04	Chair	NA	NA	NA	NA	NA	NA	NA	NA	24	45	35	55	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Within committee	NA	NA	NA	Other committee members are able to cover statistical questions	NA	NA	No	No	NA	NA	18.4166666666667	(75,100]	No	Unknown	No
60	100	TRUE	2024-06-04	NA	NA	NA	NA	NA	NA	NA	NA	Other - please specify	19	NA	NA	NA	NA	NA	NA	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	Other, please specify	Yes, part-time	Other, please specify	Never had one	Applications are reviewed outside the committee by a qualified statistician	NA	NA	Only need occasional statistical expertise	NA	We have access to statistical expertise outside the committee	NA	No	No	Always	Always	21519.2666666667	(75,100]	No	No	No
61	100	TRUE	2024-06-04	Chair	NA	NA	NA	NA	NA	NA	NA	NA	9	40	NA	NA	50	90	NA	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	Don’t know	NA	Yes, full-time	When the committee and/or chair feels unable to assess the statistical methods	3 or more years ago	Applications are reviewed outside the committee by a qualified statistician	Cannot recruit one	NA	NA	NA	NA	NA	No	No	Always	Always	17114.1833333333	(75,100]	No	No	No
62	88	FALSE	2024-06-04	Chair	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	MBiostat	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	4	(75,100]	Yes	Unknown	Yes
63	100	TRUE	2024-06-04	Chair	NA	NA	NA	NA	NA	NA	NA	NA	24	130	NA	NA	130	100	NA	NA	No	Yes	NA	BSc Statistics	NA	MSc Statistics	NA	NA	Accredited statistician from a professional society, e.g., Statistical Society of Australia	NA	NA	Yes, full-time	When the committee and/or chair feels unable to assess the statistical methods	Never had one	Researchers are expected to consult a qualified statistician before submitting their application	NA	NA	NA	Other committee members are able to cover statistical questions	We have access to statistical expertise outside the committee	NA	No	No	Always	Always	7.2	(75,100]	No	Yes	Yes
64	100	TRUE	2024-06-04	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	NA	190	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	9.35	(75,100]	No	Unknown	No
65	48	FALSE	2024-06-04	Chair	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	206	70	60	80	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.15	(5,50]	No	No	No
66	100	TRUE	2024-06-04	Chair	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	106	80	65	95	No	Yes	NA	NA	NA	NA	NA	NA	NA	Don’t know	NA	Yes, full-time	When the committee and/or chair feels unable to assess the statistical methods	NA	Applications are reviewed outside the committee by a methods review panel or scientific sub-committee	NA	NA	Only need occasional statistical expertise	Other committee members are able to cover statistical questions	We have access to statistical expertise outside the committee	Other, please specify	No	No	Always	Usually	27.9166666666667	(75,100]	No	No	No
67	48	FALSE	2024-06-05	Chair	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	18	8	NA	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	Other, please specify	Other	When the committee and/or chair feels unable to assess the statistical methods	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1688.66666666667	(5,50]	No	No	No
68	100	TRUE	2024-06-05	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	9	NA	NA	NA	14	93	86	100	Yes	NA	NA	BSc Statistics	NA	MSc Statistics	NA	NA	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	210.533333333333	(75,100]	Yes	Unknown	Yes
69	100	TRUE	2024-06-05	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	11	45	NA	NA	57	78	NA	NA	Yes	NA	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Usually	1853.03333333333	(75,100]	Yes	Unknown	Yes
70	100	TRUE	2024-06-06	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	30	93	85	105	NA	NA	NA	NA	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	Other, please specify	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	57.1	(75,100]	No	No	No
71	100	TRUE	2024-06-06	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	NA	17	60	NA	NA	127	60	NA	NA	Yes	NA	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	4171.41666666667	(75,100]	Yes	Unknown	Yes
72	100	TRUE	2024-06-06	Chair	NA	NA	NA	NA	NA	NA	NA	NA	13	16	NA	20	29	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	Accredited statistician from a professional society, e.g., Statistical Society of Australia	NA	NA	Retired statistician	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	69.2666666666667	(75,100]	Yes	Unknown	Yes
